Common Name	Genus species
CYNOMOLGUS_MONKEY	Macaca+fascicularis
RAINBOW_TROUT	Oncorhynchus+mykiss
RABBIT	Oryctolagus+cuniculus
DOG	Canis+lupus+familiaris
PIG	Sus+scrofa
ZEBRAFISH	Danio+rerio
WESTERN_MEDITERRANEAN_MOUSE	Mus+spretus
DOLPHIN	Tursiops+truncatus
COW	Bos+taurus
CAT	Felis+catus
AFRICAN_PYGMY_MOUSE	Mus+minutoides
HUMAN	Homo+sapiens
RHESUS_MONKEY	Macaca+mulatta
NAKED_MOLE-RAT	Heterocephalus+glaber
SHREW_MOUSE	Mus+pahari
MOUSE	Mus+musculus
DROMEDARY	Camelus+dromedarius
FERRET	Mustela+putorius+furo
SHEEP	Ovis+aries
